employee_id,company_id,dept,seniority,SALARY,join_date,quit_date,churn,duration_jours
13021,7,customer_service,28,89000,2014-03-24,2015-10-30,yes,585
825355,7,marketing,20,183000,2013-04-29,2014-04-04,yes,340
927315,4,marketing,14,101000,2014-10-13,NA,No,
662910,7,customer_service,20,115000,2012-05-14,2013-06-07,yes,389
256971,2,data_science,23,276000,2011-10-17,2014-08-22,yes,1040
509529,4,data_science,14,165000,2012-01-30,2013-08-30,yes,578
88600,4,customer_service,21,107000,2013-10-21,NA,No,
716309,2,customer_service,4,30000,2014-03-05,NA,No,
172999,9,engineer,7,160000,2012-12-10,2015-10-23,yes,1047
504159,1,sales,7,104000,2012-06-12,NA,No,
892155,6,customer_service,13,72000,2012-11-12,2015-02-27,yes,837
904158,2,marketing,17,230000,2015-05-11,NA,No,
939058,1,marketing,1,48000,2012-12-10,2013-11-15,yes,340
163427,10,marketing,23,154000,2012-06-18,2015-09-25,yes,1194
461248,2,sales,20,201000,2013-09-16,2014-08-22,yes,340
265226,1,data_science,4,80000,2014-05-27,2015-07-10,yes,409
932790,7,marketing,10,88000,2011-11-30,2013-11-22,yes,723
69693,7,customer_service,6,54000,2014-03-31,NA,No,
721600,2,marketing,20,193000,2014-12-29,NA,No,
982668,1,customer_service,14,76000,2015-07-27,NA,No,
123896,7,engineer,19,231000,2015-10-19,NA,No,
219944,6,customer_service,15,98000,2012-06-25,2013-05-31,yes,340
569302,5,data_science,14,144000,2011-11-28,2015-07-06,yes,1316
189981,3,marketing,14,97000,2013-08-20,2014-08-15,yes,360
819445,2,marketing,6,151000,2013-07-29,2014-08-01,yes,368
467023,3,customer_service,15,110000,2011-05-31,2013-02-08,yes,619
6808,4,data_science,26,230000,2013-08-26,NA,No,
940786,3,data_science,27,223000,2011-03-21,2012-03-02,yes,347
888375,1,customer_service,5,75000,2011-08-01,2013-10-04,yes,795
564835,5,customer_service,6,71000,2011-02-14,2014-04-11,yes,1152
72260,1,engineer,18,315000,2015-06-08,NA,No,
476097,1,customer_service,23,111000,2012-07-16,2015-05-15,yes,1033
922883,7,engineer,16,291000,2015-03-31,NA,No,
29950,2,design,20,210000,2013-05-20,NA,No,
298691,1,engineer,21,259000,2014-08-26,NA,No,
361378,2,marketing,25,207000,2013-03-11,2015-01-16,yes,676
958767,7,customer_service,19,103000,2012-10-08,2013-10-11,yes,368
942845,4,sales,14,105000,2012-06-25,2013-05-31,yes,340
573299,9,customer_service,20,108000,2015-04-13,NA,No,
739669,2,engineer,9,178000,2011-11-28,NA,No,
390806,3,customer_service,23,101000,2013-03-18,NA,No,
489148,2,engineer,5,192000,2014-04-21,NA,No,
991265,5,data_science,14,154000,2011-06-13,2012-07-27,yes,410
13380,9,customer_service,20,117000,2012-02-21,2014-01-17,yes,696
16871,1,customer_service,23,1.00E+05,2015-03-31,NA,No,
537932,1,customer_service,7,89000,2014-08-18,2015-08-13,yes,360
282949,8,data_science,26,218000,2015-03-16,NA,No,
